Country,Store,Name,Date,EOD_Start,EOD_Finish,EOD_Duration,Backup_Start,Backup_end,Replication_Start,Replication_End,Replication_Duration,Deployment_Start,Deployment_End,Dep_Duration
England  UK,1935,Wantage,18/03/2018,18/03/2018 16:19:26,18/03/2018 17:05:06,2740,18/03/2018 16:40:35,18/03/2018 16:54:20,18/03/2018 16:56:25,18/03/2018 16:59:39,194,18/03/2018 16:59:59,18/03/2018 17:01:26,87
Northern Ireland  UK,1933,Antrim,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1932,Petersfield,18/03/2018,18/03/2018 15:01:39,18/03/2018 15:47:31,2752,18/03/2018 15:22:33,18/03/2018 15:33:17,18/03/2018 15:34:52,18/03/2018 15:38:44,232,0,0,0
England  UK,1939,Kingsbury,18/03/2018,18/03/2018 17:04:55,18/03/2018 18:25:24,4829,18/03/2018 17:25:26,18/03/2018 18:12:42,18/03/2018 18:15:18,18/03/2018 18:18:30,192,18/03/2018 18:18:56,18/03/2018 18:20:32,96
England  UK,1937,Chard,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Scotland  UK,1948,Barrhead,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1951,Cheylesmore,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1949,Headingley,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Scotland  UK,1955,Westhill,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1957,Wilmslow,18/03/2018,18/03/2018 17:11:18,18/03/2018 17:58:35,2837,18/03/2018 17:32:23,18/03/2018 17:46:56,18/03/2018 17:48:52,18/03/2018 17:51:34,162,18/03/2018 17:51:52,18/03/2018 17:54:42,170
England  UK,1965,Barking,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Scotland  UK,1968,Lerwick,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1969,Lakeside,18/03/2018,18/03/2018 17:39:04,18/03/2018 18:57:37,4713,18/03/2018 18:01:23,18/03/2018 18:27:44,18/03/2018 18:32:40,18/03/2018 18:38:40,360,18/03/2018 18:39:41,18/03/2018 18:44:11,270
England  UK,1967,Thornbury,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1151,Middlebrook,18/03/2018,18/03/2018 17:20:45,18/03/2018 18:19:57,3552,18/03/2018 17:42:11,18/03/2018 17:56:19,18/03/2018 18:00:04,18/03/2018 18:05:41,337,18/03/2018 18:05:53,18/03/2018 18:10:02,249
Northern Ireland  UK,1431,Larne,18/03/2018,18/03/2018 17:03:09,0,0,18/03/2018 17:24:08,0,18/03/2018 17:25:43,18/03/2018 17:28:14,151,0,0,0
England  UK,1959,St Stephens,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
Wales  UK,1917,Talbot Green,18/03/2018,18/03/2018 16:12:10,0,0,18/03/2018 16:33:13,0,18/03/2018 16:34:38,18/03/2018 16:39:05,267,0,0,0
England  UK,1435,Maldon,18/03/2018,18/03/2018 16:43:26,18/03/2018 17:32:52,2966,18/03/2018 17:04:23,18/03/2018 17:22:11,18/03/2018 17:23:56,18/03/2018 17:27:24,208,18/03/2018 17:27:36,18/03/2018 17:29:45,129
England  UK,1158,Serpentine Green,18/03/2018,18/03/2018 16:12:20,0,0,18/03/2018 16:33:27,0,18/03/2018 16:35:32,18/03/2018 16:41:49,377,0,0,0
England  UK,1975,Cribbs Causeway,18/03/2018,18/03/2018 17:10:31,18/03/2018 18:36:15,5144,18/03/2018 17:46:56,18/03/2018 18:06:54,18/03/2018 18:10:39,18/03/2018 18:18:50,491,18/03/2018 18:19:05,18/03/2018 18:24:49,344
England  UK,1966,Hackney,18/03/2018,18/03/2018 17:46:39,18/03/2018 18:32:53,2774,18/03/2018 18:07:35,18/03/2018 18:18:26,18/03/2018 18:20:41,18/03/2018 18:25:04,263,18/03/2018 18:25:27,18/03/2018 18:28:30,183
England  UK,1978,Bloxwich,18/03/2018,0,0,0,0,0,0,0,0,0,0,0
England  UK,1977,Ripley,18/03/2018,18/03/2018 16:07:33,18/03/2018 16:49:30,2517,18/03/2018 16:28:24,18/03/2018 16:38:49,18/03/2018 16:40:24,18/03/2018 16:43:45,201,18/03/2018 16:44:01,18/03/2018 16:45:21,80
